OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
DRBC,Delaware River Basin Commission,DRBC-P4a:101707:1010:335-67-1,Sample-Routine,Water,,2007-10-17,10:10:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-P4a,68,,,,,39.6730600000,-75.5241400000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-872441252,,,Perfluorooctanoic acid,,75.4,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P4a%3A101707%3A1010%3A335-67-1/results/872441252/resdetectqntlmts,Estimated Detection Level,1.98,ng/L,,2021-01-20T15:08:30,STORET
DRBC,Delaware River Basin Commission,DRBC-P4a:80608:1047:335-67-1,Sample-Routine,Water,,2008-08-06,10:47:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-P4a,68,,,,,39.6730600000,-75.5241400000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-872441390,,,Perfluorooctanoic acid,,48,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P4a%3A80608%3A1047%3A335-67-1/results/872441390/resdetectqntlmts,Estimated Detection Level,0.984,ng/L,,2021-01-20T15:08:34,STORET
DRBC,Delaware River Basin Commission,DRBC-P4a:102209:838:335-67-1,Sample-Routine,Water,,2009-10-22,08:38:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-P4a,68,,,,,39.6730600000,-75.5241400000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-872441422,,,Perfluorooctanoic acid,,27.7,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P4a%3A102209%3A838%3A335-67-1/results/872441422/resdetectqntlmts,Estimated Detection Level,0.995,ng/L,,2021-01-20T15:08:35,STORET
DRBC,Delaware River Basin Commission,DRBC-P4b:80315:945:335-67-1,Sample-Routine,Water,,2015-08-03,09:45:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-P4b,74,,,,,39.7686800000,-75.4730200000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-872441344,,,Perfluorooctanoic acid,,5.29,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P4b%3A80315%3A945%3A335-67-1/results/872441344/resdetectqntlmts,Estimated Detection Level,1.04,ng/L,,2021-01-20T15:08:33,STORET
DRBC,Delaware River Basin Commission,DRBC-P2:80315:845:335-67-1,Sample-Routine,Water,,2015-08-03,08:45:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-P2,68,,,,,39.6730600000,-75.5241400000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-872441296,,,Perfluorooctanoic acid,,9.86,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P2%3A80315%3A845%3A335-67-1/results/872441296/resdetectqntlmts,Estimated Detection Level,1.05,ng/L,,2021-01-20T15:08:31,STORET
DRBC,Delaware River Basin Commission,DRBC-PEOC:80515:915:335-67-1,Sample-Routine,Water,,2015-08-05,09:15:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-PEOC,26,,,,,39.1834950000,-75.2745210000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-872441314,,,Perfluorooctanoic acid,,5.85,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-PEOC%3A80515%3A915%3A335-67-1/results/872441314/resdetectqntlmts,Estimated Detection Level,0.993,ng/L,,2021-01-20T15:08:32,STORET
DRBC,Delaware River Basin Commission,DRBC-PSBS:80515:725:335-67-1,Sample-Routine,Water,,2015-08-05,07:25:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-PSBS,6,,,,,38.9225620000,-75.0961090000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-872441309,,,Perfluorooctanoic acid,,2.53,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-PSBS%3A80515%3A725%3A335-67-1/results/872441309/resdetectqntlmts,Estimated Detection Level,0.979,ng/L,,2021-01-20T15:08:32,STORET
DRBC,Delaware River Basin Commission,DRBC-P3:80315:920:335-67-1,Sample-Routine,Water,,2015-08-03,09:20:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-P3,71,,,,,39.7190800000,-75.5042500000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-872441339,,,Perfluorooctanoic acid,,8.02,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P3%3A80315%3A920%3A335-67-1/results/872441339/resdetectqntlmts,Estimated Detection Level,1.01,ng/L,,2021-01-20T15:08:33,STORET
DRBC,Delaware River Basin Commission,DRBC-13-33204909202021091845285-51-6,Sample-Routine,Water,,2021-09-20,09:18:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-31DELRBC_WQX-332049,78.1,,,,,39.8006550000,-75.4252450000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-926330708,,,Perfluorooctanoic acid,,3.87,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA110rev2,DRBC,Analytical Procedure for the Analysis of PFAS  by LC/MS/MS Isotope Dilution revision 2,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-13-33204909202021091845285-51-6/results/926330708/resdetectqntlmts,Lower Reporting Limit,0.368,ng/L,,2022-01-12T11:58:38,STORET
DRBC,Delaware River Basin Commission,DRBC-03-09102609202021091545285-51-6,Sample-Routine,Water,,2021-09-20,09:15:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-31DELRBC_WQX-091026,22.75,,,,,39.1811300000,-75.2711680000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-926330308,,,Perfluorooctanoic acid,,3.36,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA110rev2,DRBC,Analytical Procedure for the Analysis of PFAS  by LC/MS/MS Isotope Dilution revision 2,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-03-09102609202021091545285-51-6/results/926330308/resdetectqntlmts,Lower Reporting Limit,0.379,ng/L,,2022-01-12T11:58:30,STORET
