OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-P607:WAT2018:LOFO_2018_w:4036283,Sample-Routine,Water,Surface Water,2018-06-13,00:00:00,EDT,2018-06-13,00:00:00,EDT,Other,,,,,,,,FMP-CSMISSP2018,Fish Monitoring Program CSMI Special Studies Program - 2018,Clarkson University,EPA_GLNPO-P607,Grid0713-North Hamlin,,,,,43.4166670000,-77.9166670000,DipPole,EPA_GLNPO,Dip Pole,Pole used for water sample collection,Dip Pole,STORET-792889943,,,Perfluorooctanoic acid,,3.04609822235613,ng/L,,Accepted,,Actual,,,,,3,,,,,- LOFO_2018_watp_1-RFS0-PFOA,,,,,,,,,,Clarkson-PFC,EPA_GLNPO,PFCs by UPLC-QToF,,,,2018-07-09,,https://www.waterqualitydata.us/data/providers/STORET/organizations/EPA_GLNPO/activities/EPA_GLNPO-P607%3AWAT2018%3ALOFO_2018_w%3A4036283/results/792889943/resdetectqntlmts,Method Detection Level,0.0105,ng/L,,2019-07-23T15:03:14,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-P607:WAT2018:LOFO_2018_w:4036284,Sample-Routine,Water,Surface Water,2018-06-13,00:00:00,EDT,2018-06-13,00:00:00,EDT,Other,,,,,,,,FMP-CSMISSP2018,Fish Monitoring Program CSMI Special Studies Program - 2018,Clarkson University,EPA_GLNPO-P607,Grid0713-North Hamlin,,,,,43.4166670000,-77.9166670000,DipPole,EPA_GLNPO,Dip Pole,Pole used for water sample collection,Dip Pole,STORET-792889954,,,Perfluorooctanoic acid,,3.49859082756854,ng/L,,Accepted,,Actual,,,,,3,,,,,- LOFO_2018_watp_2-RFS0-PFOA,,,,,,,,,,Clarkson-PFC,EPA_GLNPO,PFCs by UPLC-QToF,,,,2018-07-09,,https://www.waterqualitydata.us/data/providers/STORET/organizations/EPA_GLNPO/activities/EPA_GLNPO-P607%3AWAT2018%3ALOFO_2018_w%3A4036284/results/792889954/resdetectqntlmts,Method Detection Level,0.0105,ng/L,,2019-07-23T15:03:14,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-P607:WAT2018:LOFO_2018_w:4036285,Sample-Routine,Water,Surface Water,2018-06-13,00:00:00,EDT,2018-06-13,00:00:00,EDT,Other,,,,,,,,FMP-CSMISSP2018,Fish Monitoring Program CSMI Special Studies Program - 2018,Clarkson University,EPA_GLNPO-P607,Grid0713-North Hamlin,,,,,43.4166670000,-77.9166670000,DipPole,EPA_GLNPO,Dip Pole,Pole used for water sample collection,Dip Pole,STORET-792889992,,,Perfluorooctanoic acid,,3.51136708093362,ng/L,,Accepted,,Actual,,,,,3,,,,,- LOFO_2018_watp_3-RFS0-PFOA,,,,,,,,,,Clarkson-PFC,EPA_GLNPO,PFCs by UPLC-QToF,,,,2018-07-10,,https://www.waterqualitydata.us/data/providers/STORET/organizations/EPA_GLNPO/activities/EPA_GLNPO-P607%3AWAT2018%3ALOFO_2018_w%3A4036285/results/792889992/resdetectqntlmts,Method Detection Level,0.0105,ng/L,,2019-07-23T15:03:14,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-P607:WAT2018:LOFO_2018_w:4036280,Sample-Routine,Water,Surface Water,2018-06-12,00:00:00,EDT,2018-06-12,00:00:00,EDT,Other,,,,,,,,FMP-CSMISSP2018,Fish Monitoring Program CSMI Special Studies Program - 2018,Clarkson University,EPA_GLNPO-P607,Grid0713-North Hamlin,,,,,43.4166670000,-77.9166670000,SubPump,EPA_GLNPO,SubPump,Submersible Pump,Pump/Submersible,STORET-792889833,,,Perfluorooctanoic acid,,2.19894457009086,ng/L,,Accepted,,Actual,,,,,3,,,,,- LOFO_2018_wat_1-RFS0-PFOA,,,,,,,,,,Clarkson-PFC,EPA_GLNPO,PFCs by UPLC-QToF,,,,2018-07-09,,https://www.waterqualitydata.us/data/providers/STORET/organizations/EPA_GLNPO/activities/EPA_GLNPO-P607%3AWAT2018%3ALOFO_2018_w%3A4036280/results/792889833/resdetectqntlmts,Method Detection Level,0.0105,ng/L,,2019-07-23T15:03:13,STORET
21NYDECA_WQX,New York State Dec Division Of Water,21NYDECA_WQX-11-HOOS-20.8_20191024T1100:CEC-00094,Sample-Routine,Water,,2019-10-24,11:00:00,EDT,,,,,,,,,,,,Routine,Routine River Network,NYSDEC,21NYDECA_WQX-2923,11-HOOS-20.8,,,,,42.9513900000,-73.3911100000,,,,,,STORET-1060245340,,None,Perfluorooctanoic acid,Total,13,ng/L,CON,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,537M,USEPA,"MODIFIED, Determination of Selected Perfluorinated Alkyl Acids in Drinking Water by Solid Phase Extraction and Liquid Chromatography/Tandem Mass Spectrometry (LC/MS/MS)",,,TALBURL,2019-11-07,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21NYDECA_WQX/activities/21NYDECA_WQX-11-HOOS-20.8_20191024T1100%3ACEC-00094/results/1060245340/resdetectqntlmts,Lower Quantitation Limit,1.7,ng/L,,2025-04-18T14:28:09,STORET
21NYDECA_WQX,New York State Dec Division Of Water,21NYDECA_WQX-17-BRNX-5.6_20191023T1300:CEC-00090,Sample-Routine,Water,,2019-10-23,13:00:00,EDT,,,,,,,,,,,,Routine,Routine River Network,NYSDEC,21NYDECA_WQX-8366,17-BRNX-5.6,,,,,40.8800000000,-73.8686000000,,,,,,STORET-1060245256,,None,Perfluorooctanoic acid,Total,9.6,ng/L,CON,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,537M,USEPA,"MODIFIED, Determination of Selected Perfluorinated Alkyl Acids in Drinking Water by Solid Phase Extraction and Liquid Chromatography/Tandem Mass Spectrometry (LC/MS/MS)",,,TALBURL,2019-11-06,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21NYDECA_WQX/activities/21NYDECA_WQX-17-BRNX-5.6_20191023T1300%3ACEC-00090/results/1060245256/resdetectqntlmts,Lower Quantitation Limit,1.7,ng/L,,2025-04-18T14:28:08,STORET
21NYDECA_WQX,New York State Dec Division Of Water,21NYDECA_WQX-17-CARM-9.0_20191024T1030:CEC-00093,Sample-Routine,Water,,2019-10-24,10:30:00,EDT,,,,,,,,,,,,Routine,Routine River Network,NYSDEC,21NYDECA_WQX-8498,17-CARM-9.0,,,,,40.8300000000,-72.9069400000,,,,,,STORET-1060245319,,None,Perfluorooctanoic acid,Total,3.1,ng/L,CON,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,537M,USEPA,"MODIFIED, Determination of Selected Perfluorinated Alkyl Acids in Drinking Water by Solid Phase Extraction and Liquid Chromatography/Tandem Mass Spectrometry (LC/MS/MS)",,,TALBURL,2019-11-07,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21NYDECA_WQX/activities/21NYDECA_WQX-17-CARM-9.0_20191024T1030%3ACEC-00093/results/1060245319/resdetectqntlmts,Lower Quantitation Limit,1.7,ng/L,,2025-04-18T14:28:09,STORET
21NYDECA_WQX,New York State Dec Division Of Water,21NYDECA_WQX-14-WDEL-16.2_20191023T1300:CEC-00092,Sample-Routine,Water,,2019-10-23,13:00:00,EDT,,,,,,,,,,,,Routine,Routine River Network,NYSDEC,21NYDECA_WQX-7774,14-WDEL-16.2,,,,,42.0800000000,-75.4013800000,,,,,,STORET-1060245298,Not Detected,None,Perfluorooctanoic acid,Total,,,U,Accepted,,,,,,,,,,,,,,,,,,,,,,537M,USEPA,"MODIFIED, Determination of Selected Perfluorinated Alkyl Acids in Drinking Water by Solid Phase Extraction and Liquid Chromatography/Tandem Mass Spectrometry (LC/MS/MS)",,,TALBURL,2019-11-06,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21NYDECA_WQX/activities/21NYDECA_WQX-14-WDEL-16.2_20191023T1300%3ACEC-00092/results/1060245298/resdetectqntlmts,Lower Quantitation Limit,1.7,ng/L,,2025-04-18T14:28:08,STORET
21NYDECA_WQX,New York State Dec Division Of Water,21NYDECA_WQX-13-LHUD-130.6_20191022T0000:CEC-00089,Sample-Routine,Water,,2019-10-22,00:00:00,EDT,,,,,,,,,,,,Routine,Routine River Network,NYSDEC,21NYDECA_WQX-3664,13-LHUD-130.6,,,,,42.6194950000,-73.7587960000,,,,,,STORET-1060245235,,None,Perfluorooctanoic acid,Total,2.4,ng/L,CON,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,537M,USEPA,"MODIFIED, Determination of Selected Perfluorinated Alkyl Acids in Drinking Water by Solid Phase Extraction and Liquid Chromatography/Tandem Mass Spectrometry (LC/MS/MS)",,,TALBURL,2019-10-31,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21NYDECA_WQX/activities/21NYDECA_WQX-13-LHUD-130.6_20191022T0000%3ACEC-00089/results/1060245235/resdetectqntlmts,Lower Quantitation Limit,1.7,ng/L,,2025-04-18T14:28:08,STORET
21NYDECA_WQX,New York State Dec Division Of Water,21NYDECA_WQX-12-SCHO-14.6_20191021T0900:CEC-00088,Sample-Routine,Water,,2019-10-21,09:00:00,EDT,,,,,,,,,,,,Routine,Routine River Network,NYSDEC,21NYDECA_WQX-3489,12-SCHO-14.6,,,,,42.8000000000,-74.2633400000,,,,,,STORET-1060245214,Not Detected,None,Perfluorooctanoic acid,Total,,,U,Accepted,,,,,,,,,,,,,,,,,,,,,,537M,USEPA,"MODIFIED, Determination of Selected Perfluorinated Alkyl Acids in Drinking Water by Solid Phase Extraction and Liquid Chromatography/Tandem Mass Spectrometry (LC/MS/MS)",,,TALBURL,2019-11-01,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21NYDECA_WQX/activities/21NYDECA_WQX-12-SCHO-14.6_20191021T0900%3ACEC-00088/results/1060245214/resdetectqntlmts,Lower Quantitation Limit,1.8,ng/L,,2025-04-18T14:28:08,STORET
