OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
DRBC,Delaware River Basin Commission,DRBC-P12:101707:1340:335-67-1,Sample-Routine,Water,,2007-10-17,13:40:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-P12,105,,,,,39.9947700000,-75.0597800000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-872441276,,,Perfluorooctanoic acid,,5.8,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P12%3A101707%3A1340%3A335-67-1/results/872441276/resdetectqntlmts,Estimated Detection Level,1.07,ng/L,,2021-01-20T15:08:31,STORET
DRBC,Delaware River Basin Commission,DRBC-P12:80608:1400:335-67-1,Sample-Routine,Water,,2008-08-06,14:00:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-P12,105,,,,,39.9947700000,-75.0597800000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-872441379,,,Perfluorooctanoic acid,,5.1,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P12%3A80608%3A1400%3A335-67-1/results/872441379/resdetectqntlmts,Estimated Detection Level,1,ng/L,,2021-01-20T15:08:34,STORET
DRBC,Delaware River Basin Commission,DRBC-P12:102209:1020:335-67-1,Sample-Routine,Water,,2009-10-22,10:20:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-P12,105,,,,,39.9947700000,-75.0597800000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-872441438,,,Perfluorooctanoic acid,,5.37,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P12%3A102209%3A1020%3A335-67-1/results/872441438/resdetectqntlmts,Estimated Detection Level,1.01,ng/L,,2021-01-20T15:08:35,STORET
DRBC,Delaware River Basin Commission,DRBC-P11:80315:1436:335-67-1,Sample-Routine,Water,,2015-08-03,14:36:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-P11,105,,,,,39.9947700000,-75.0597800000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-872441300,,,Perfluorooctanoic acid,,3.27,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P11%3A80315%3A1436%3A335-67-1/results/872441300/resdetectqntlmts,Estimated Detection Level,1.02,ng/L,,2021-01-20T15:08:31,STORET
DRBC,Delaware River Basin Commission,DRBC-P6:80315:1130:335-67-1,Sample-Routine,Water,,2015-08-03,11:30:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-P6,85,,,,,39.8505500000,-75.3270900000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-872441357,,,Perfluorooctanoic acid,,5.79,ng/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-P6%3A80315%3A1130%3A335-67-1/results/872441357/resdetectqntlmts,Estimated Detection Level,2.18,ng/L,,2021-01-20T15:08:33,STORET
DRBC,Delaware River Basin Commission,DRBC-PEAST183:92016:1023:335-67-1,Sample-Routine,Water,,2016-09-20,10:23:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-PEAST183,183.82,,,,,40.6945000000,-75.2037970000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-872467516,Not Detected,,Perfluorooctanoic acid,,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-PEAST183%3A92016%3A1023%3A335-67-1/results/872467516/resdetectqntlmts,Estimated Detection Level,1.01,ng/L,,2021-01-21T10:48:37,STORET
DRBC,Delaware River Basin Commission,DRBC-PNRB289:92016:1402:335-67-1,Sample-Routine,Water,,2016-09-20,14:02:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-PNRB289,289.9,,,,,41.6113890000,-75.0616890000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-872467496,Not Detected,,Perfluorooctanoic acid,,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-PNRB289%3A92016%3A1402%3A335-67-1/results/872467496/resdetectqntlmts,Estimated Detection Level,0.973,ng/L,,2021-01-21T10:48:37,STORET
DRBC,Delaware River Basin Commission,DRBC-PLAM149:92016:836:335-67-1,Sample-Routine,Water,,2016-09-20,08:36:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-PLAM149,148.7,,,,,40.3649310000,-74.9489920000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-872467525,Not Detected,,Perfluorooctanoic acid,,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-PLAM149%3A92016%3A836%3A335-67-1/results/872467525/resdetectqntlmts,Estimated Detection Level,0.966,ng/L,,2021-01-21T10:48:37,STORET
DRBC,Delaware River Basin Commission,DRBC-PPJM254:92016:1241:335-67-1,Sample-Routine,Water,,2016-09-20,12:41:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-PPJM254,253.65,,,,,41.3715750000,-74.6973220000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-872467506,Not Detected,,Perfluorooctanoic acid,,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-PPJM254%3A92016%3A1241%3A335-67-1/results/872467506/resdetectqntlmts,Estimated Detection Level,0.973,ng/L,,2021-01-21T10:48:37,STORET
DRBC,Delaware River Basin Commission,DRBC-PPJM254:92016:1415:335-67-1,Quality Control Sample-Field Blank,Water,,2016-09-20,14:15:00,EST,,,,,,,,,,,,PFAS Surface Water,Per- and polyfluoroalkyl substances,,DRBC-PPJM254,253.65,,,,,41.3715750000,-74.6973220000,PFAS_water_sample,DRBC,PFAS water sample collection,Grab samples of surface water are collected directly into HDPE bottles by submerging,Water Bottle,STORET-872467534,Not Detected,,Perfluorooctanoic acid,,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,MLA-060,DRBC,SGS AXYS Method MLA-060,,,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/DRBC/activities/DRBC-PPJM254%3A92016%3A1415%3A335-67-1/results/872467534/resdetectqntlmts,Estimated Detection Level,1.11,ng/L,,2021-01-21T10:48:37,STORET
